id,xp,avg_cycle_hours,avg_proj_comp,avg_proj_qual,lrn_supp,cult_cont,team_play,health_culture,health_team_play,health_technical,est_accuracy,est_bias,no_proj_rvws,elo
396fad2d,136.98,35.43,87.1,87.44,79.4,88.65,89.81,MISSING DATA,MISSING DATA,MISSING DATA,96.25,-1.92,33,1001
690c133a,111.58,34.29,90.73,88.57,61.34,78.24,87.04,MISSING DATA,MISSING DATA,MISSING DATA,96.61,2.83,31,955
dcf14075,542.71,31.29,86.82,86.05,97.58,90.6,92.75,MISSING DATA,MISSING DATA,MISSING DATA,87.73,-3.71,35,1263
f7ba1065,95.32,32.43,80.27,84.4,65.28,76.62,65.74,MISSING DATA,MISSING DATA,MISSING DATA,96.97,2.19,32,990
85eb0e18,126.21,33.07,84.75,87.02,80.09,93.06,88.89,MISSING DATA,MISSING DATA,MISSING DATA,96.01,-2.4,32,1026
89ffaeb3,94.15,35.14,78.75,81.42,60.65,60.19,55.55,MISSING DATA,MISSING DATA,MISSING DATA,91.67,1.83,28,973
75dbe257,586.29,38.29,91.79,90.32,96.0,94.68,94.32,MISSING DATA,MISSING DATA,MISSING DATA,90.66,4.28,43,1238
45a99283,147.92,36.14,89.2,90.25,78.24,90.74,94.45,MISSING DATA,MISSING DATA,MISSING DATA,95.3,2.1,29,1001
936e3168,159.24,36.14,88.82,90.02,75.93,93.06,96.3,MISSING DATA,MISSING DATA,MISSING DATA,94.85,1.6,35,1019
cbcff678,115.73,33.29,90.07,88.39,71.99,95.6,100.0,MISSING DATA,MISSING DATA,MISSING DATA,94.53,-3.58,34,986
29f423c4,153.82,35.14,91.44,91.62,86.11,87.27,75.0,MISSING DATA,MISSING DATA,MISSING DATA,95.81,1.47,34,1022
b6aa9c94,134.18,34.71,83.46,87.09,78.47,88.2,88.89,MISSING DATA,MISSING DATA,MISSING DATA,93.21,-2.13,33,1033
070b3063,273.9,44.6,78.97,82.33,80.93,75.37,70.83,MISSING DATA,MISSING DATA,MISSING DATA,89.85,2.15,28,1191
4a6f36f6,158.55,35.71,86.3,86.51,85.65,98.61,97.22,MISSING DATA,MISSING DATA,MISSING DATA,95.67,-0.17,28,1020
adda47cf,108.27,33.86,87.17,85.71,54.17,70.37,58.33,MISSING DATA,MISSING DATA,MISSING DATA,92.58,7.42,25,980
9ae522cc,145.59,33.71,89.48,88.72,77.32,94.44,93.52,MISSING DATA,MISSING DATA,MISSING DATA,98.22,-1.45,25,1026
90945a45,137.22,34.29,87.22,86.02,72.69,82.41,66.67,MISSING DATA,MISSING DATA,MISSING DATA,95.75,-2.58,30,1006
a4b6116a,22.78,40.0,89.28,90.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,8,1001
4d87f1c5,97.26,34.71,79.85,81.32,70.83,83.33,74.07,MISSING DATA,MISSING DATA,MISSING DATA,97.25,2.25,29,978
45664623,147.81,35.29,90.15,87.91,74.54,87.5,87.04,MISSING DATA,MISSING DATA,MISSING DATA,92.6,-3.6,26,1014
