id,xp,avg_cycle_hours,avg_proj_comp,avg_proj_qual,lrn_supp,cult_cont,team_play,est_accuracy,est_bias,no_proj_rvws,elo
396fad2d,35.09,40.0,76.74,82.24,77.09,81.25,MISSING DATA,95.25,4.75,14,1014
690c133a,29.39,40.0,77.02,80.85,68.75,79.16,MISSING DATA,93.25,5.75,14,971
dcf14075,176.13,40.0,75.33,81.37,96.5,91.57,MISSING DATA,84.32,15.68,14,1266
f7ba1065,29.23,40.0,76.29,83.38,70.84,72.91,MISSING DATA,94.0,-2.5,12,966
85eb0e18,32.32,40.0,71.16,79.59,70.83,83.34,MISSING DATA,90.88,9.13,14,1012
29f423c4,44.35,40.0,75.5,80.78,83.33,97.92,MISSING DATA,96.75,0.25,14,1053
936e3168,53.0,40.0,77.43,84.24,83.33,91.67,MISSING DATA,93.88,6.13,13,1035
cbcff678,30.48,40.0,75.68,81.99,72.91,93.75,MISSING DATA,87.5,0.0,14,966
b6aa9c94,37.65,40.0,73.69,82.36,64.59,64.59,MISSING DATA,91.13,-5.88,14,1020
45a99283,40.59,40.0,73.65,82.32,79.16,83.34,MISSING DATA,99.5,-0.5,12,1014
4a6f36f6,41.4,40.0,71.91,80.58,87.5,100.0,MISSING DATA,95.25,4.75,13,1019
9ae522cc,40.5,40.0,80.56,83.14,87.5,100.0,MISSING DATA,96.25,-0.25,12,1021
89ffaeb3,19.26,40.0,56.21,64.47,79.17,66.66,MISSING DATA,84.5,-15.5,10,962
a4b6116a,22.78,40.0,89.28,90.0,83.33,83.33,MISSING DATA,MISSING DATA,MISSING DATA,8,1001
45664623,50.71,40.0,82.03,87.22,87.5,95.84,MISSING DATA,93.5,6.5,14,1030
070b3063,73.76,40.0,65.09,72.73,55.56,54.63,MISSING DATA,83.75,-8.75,13,1214
75dbe257,123.22,40.0,89.39,87.9,95.83,93.75,MISSING DATA,92.38,7.12,14,1236
adda47cf,32.5,40.0,84.69,82.54,75.0,66.67,MISSING DATA,95.75,0.75,12,991
90945a45,48.9,40.0,86.16,86.18,75.0,86.11,MISSING DATA,98.75,-1.25,13,1043
4d87f1c5,13.54,30.0,63.53,69.38,62.5,75.0,MISSING DATA,97.5,-1.0,11,1008
